user_id,recomendations
AVATAR715,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Unturned']"
YieuwMage,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198078752187,"['Counter-Strike: Source', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
A-Very-Sly-Person,"['Team Fortress 2', 'Unturned', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198211054671,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561197994493402,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
Koolcaz12,"['Master of Orion', 'Project Highrise', 'RollerCoaster Tycoon World™', ""No Man's Sky"", 'Papers, Please']"
76561198065656175,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Left 4 Dead 2']"
76561198188979775,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
97396295,"['Robocraft', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
76561198126640317,"['Counter-Strike: Global Offensive', 'DayZ', 'Team Fortress 2', 'Insurgency', ""Garry's Mod""]"
DemonicWolvz,"[""Garry's Mod"", 'Left 4 Dead 2', 'Team Fortress 2', 'No More Room in Hell', 'Saints Row IV']"
DieMadchenschanderin,"['ARK: Survival Evolved', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
GGargula,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Myther43,"['Evolve Stage 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
getf0kinn0sc0pedm9,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198141443390,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198097333029,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
whodafuqisthisguilao,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Magjiikal,"['Counter-Strike: Global Offensive', 'Pixel Galaxy', 'Goat Simulator', 'Grand Theft Auto V']"
ohnospaghet,"['Source Filmmaker', 'One Finger Death Punch', 'Team Fortress 2', ""Garry's Mod""]"
76561198050347115,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
2768820078,"['Counter-Strike: Global Offensive', 'Team Fortress 2', 'Grand Theft Auto V', 'Fallout 4', ""Garry's Mod""]"
76561198056392326,"['Chivalry: Medieval Warfare', 'Hero Siege', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
2d4nk4m3,"['Stronghold Kingdoms', 'Cubic Castles', 'Team Fortress 2', 'Digger Online', 'Lords of the Black Sun']"
76561198078478151,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
exiaez,"['Hacknet', 'Dishonored', 'Ratz Instagib', 'Hospital Tycoon']"
76561198095921854,"['Tropico 5', 'Tropico 4', 'Age of Empires II HD', 'Machinarium', 'Anno 2205™']"
EizanAratoFujimaki,"['Half-Life', 'Half-Life 2', 'Team Fortress 2', ""Garry's Mod"", 'Fistful of Frags']"
TeCool,"['Strife®', 'Influent', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
2xDelorean,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Realm of the Mad God']"
washington_,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Rust', 'Starbound']"
jewxxl,"['Villagers and Heroes', 'Final Rush']"
76561198088944293,"['Unturned', 'Arma 3', 'PlanetSide 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198092540221,"['Team Fortress 2', 'Portal 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'BattleBlock Theater®']"
76561198051258119,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
nubquake123,"['Epic Battle Fantasy 4', 'Team Fortress 2', 'The Elder Scrolls III: Morrowind® Game of the Year Edition', 'Dragon Nest']"
Pyromanic,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Source', 'Counter-Strike: Global Offensive', 'Unturned']"
76561198109656922,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
CobRazor,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
relesprit,"[""Sid Meier's Civilization® V"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
WitchHunter4542,"['Unturned', 'No More Room in Hell', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
pwrt,"['Team Fortress 2', 'Warframe', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
wantmahbody,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198115868847,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
benedictcuminherbatch,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198031207016,"[""Sid Meier's Civilization® V"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198043458582,"['Terraria', 'DayZ', 'Arma 3', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
smashiroshh,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
shark854,"['Just Cause™ 3', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
killbunny38,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Dirty Bomb®', ""Garry's Mod""]"
76561198047630659,"['Warframe', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
1337lolroflmao,"['Grand Theft Auto V', 'The Walking Dead: Season 2', 'Call of Duty®: Modern Warfare® 2', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
sithjjf,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198060039459,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
OzfurAtlas,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198065593074,"['Trove', 'Counter-Strike: Global Offensive', 'Unturned', ""Garry's Mod"", 'Team Fortress 2']"
76561198044169764,"[""Garry's Mod"", 'Heroes &amp; Generals', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
euzi,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Left 4 Dead 2']"
76561198074935997,"['Rust', 'ARK: Survival Evolved', ""No Man's Sky"", 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561197961778802,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
lucasrash,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198016602703,"['Slime Rancher', 'Team Fortress 2', 'Warframe', 'Unturned', 'Counter-Strike: Global Offensive']"
thisissohardtomakeoneup,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198087010391,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
66666669999999,"['BLOCKADE 3D', 'Counter-Strike: Global Offensive', 'Unturned', 'Team Fortress 2', ""Garry's Mod""]"
76561198061174192,"['Kerbal Space Program', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2']"
ReMiXOfficalSteam,"['Dead Realm', ""Garry's Mod"", 'Nidhogg', 'Thinking with Time Machine']"
Wilfire77,"['theHunter: Primal', 'Rust', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Unturned']"
76561198084390807,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
Mastic,"['Left 4 Dead 2', 'Saints Row IV', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198028286104,"['Call of Duty®: Modern Warfare® 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Heroes &amp; Generals']"
tarjla,"['Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned', 'Rust', 'Terraria']"
deathnz1,"['Warhammer 40,000: Regicide', 'My Riding Stables: Life with Horses', 'Defense Technica', 'BioShock Infinite', 'Infested Planet']"
readingthis4noobs,"['Heroes &amp; Generals', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Unturned']"
76561198104393251,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198075322986,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
redsncrimson,"['Team Fortress 2', 'Borderlands 2', 'Portal 2', 'Starbound', 'Counter-Strike: Global Offensive']"
76561198151910904,"['Rocket League®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
H1DD3NT3RR0R,"['Terraria', 'Counter-Strike: Source', 'Awesomenauts - the 2D moba', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198071214618,"['Magicite', 'Unturned', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
76561198115115631,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198071175142,"['Grand Theft Auto V', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
t8s,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
pikawuu2,"['Warframe', 'Team Fortress 2', 'AudioSurf', 'Counter-Strike: Global Offensive']"
Sammeh00,"['Robocraft', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Terraria']"
Michaelele,"['Counter-Strike: Global Offensive', 'Unturned', 'Team Fortress 2', 'Arma 3', ""Garry's Mod""]"
76561198045754869,"['LISA', 'Goat Simulator', 'Year Walk', 'DayZ']"
76561198076098774,"['WAKFU', 'Team Fortress 2', 'Warframe', ""Monaco: What's Yours Is Mine""]"
76561198103253374,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198048417105,"['Counter-Strike: Global Offensive', 'Team Fortress 2', 'Grand Theft Auto V', ""Garry's Mod""]"
76561198090842891,"['Just Cause 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198055767971,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561197998052647,"['ARK: Survival Evolved', 'TERA', 'Warframe', 'Terraria']"
adohya343,"['Dead Bits', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Everlasting Summer', 'Unturned']"
76561198145436942,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
jjas01,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Spec Ops: The Line', ""Garry's Mod""]"
3xotic26,"['Team Fortress 2', 'Left 4 Dead 2', 'Borderlands 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
iamthetrashlord,"['Saints Row IV', 'South Park™: The Stick of Truth™', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
3dster,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198079990063,"['Beatbuddy: Tale of the Guardians', 'Villagers and Heroes', 'Final Rush', 'Probably Archery']"
Forty-Nine,"['GUILTY GEAR Xrd -SIGN-', 'Brawlhalla', 'Skullgirls', 'GoD Factory: Wingmen']"
76561198051017916,"['The Plan', 'Team Fortress 2', 'Left 4 Dead 2', ""Garry's Mod""]"
L4M1NAS,"['DayZ', 'Heroes &amp; Generals', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198096766604,"['Robocraft', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Terraria']"
76561197995322437,"['Unturned', 'Team Fortress 2', 'Kerbal Space Program']"
imsojipper,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198084542731,"['Saints Row IV', 'Medal of Honor™', ""Garry's Mod"", 'Team Fortress 2', 'Left 4 Dead 2']"
76561198103671881,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
mrpfresh,"['ARK: Survival Evolved', 'Broken Age', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
GamerFag,"['Team Fortress 2', 'Killing Floor', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
EHS-R3AP3R,"['Call of Duty®: Ghosts', ""Romero's Aftermath"", 'Counter-Strike: Global Offensive', 'DayZ']"
chidori_647,"['Just Cause 2', 'South Park™: The Stick of Truth™', 'Team Fortress 2', 'Grim Dawn', 'Counter-Strike: Global Offensive']"
76561198092227136,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Killing Floor']"
hellcat59,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
76561198007584361,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
tbimperator,"['Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Allahu_Akbar666,"['Warframe', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
ulramite,"['Starbound', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Terraria']"
-GM-Dragon,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Rust']"
76561198054040292,"['Only If', 'DayZ', 'Killing Floor']"
76561198078799606,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
I_DID_911_JUST_SAYING,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Unturned']"
750805,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
diabeticfuck,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198054465623,"['PAYDAY™ The Heist', ""Monaco: What's Yours Is Mine"", 'BLOCKADE 3D', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
aaropro,"['Team Fortress 2', 'DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
abiam,"['Warframe', 'Borderlands 2', 'Team Fortress 2']"
FrankoWalker,"['The Way of Life Free Edition', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Anarchy Arcade']"
LightfootSword7,"['DayZ', 'Firewatch', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust']"
SALTTHEW0UND,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Left 4 Dead 2', ""Garry's Mod""]"
express157,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198074644990,"['The Forest', 'ArcheBlade™', 'Team Fortress 2', 'Rust', ""Garry's Mod""]"
